County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Capitol Planning Region	$2,234	$2,624	$2,765	$3,083	$3,133
Greater Bridgeport Planning Region	$2,658	$3,121	$3,289	$3,667	$3,726
Lower Connecticut River Valley Planning Region	$2,323	$2,728	$2,875	$3,206	$3,257
Naugatuck Valley Planning Region	$2,205	$2,590	$2,729	$3,043	$3,092
Northeastern Connecticut Planning Region	$1,998	$2,347	$2,473	$2,757	$2,802
Northwest Hills Planning Region	$2,165	$2,543	$2,680	$2,988	$3,036
South Central Connecticut Planning Region	$2,341	$2,749	$2,897	$3,230	$3,282
Southeastern Connecticut Planning Region	$2,109	$2,477	$2,610	$2,910	$2,957
Western Connecticut Planning Region	$3,272	$3,843	$4,049	$4,515	$4,588



