County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Appling County	$1,217	$1,429	$1,506	$1,679	$1,706
Atkinson County	$1,215	$1,427	$1,504	$1,677	$1,704
Bacon County	$1,222	$1,435	$1,512	$1,686	$1,713
Baker County	$1,370	$1,610	$1,696	$1,891	$1,922
Baldwin County	$1,492	$1,753	$1,847	$2,059	$2,093
Banks County	$1,513	$1,777	$1,872	$2,087	$2,121
Barrow County	$1,587	$1,864	$1,964	$2,190	$2,225
Bartow County	$1,635	$1,921	$2,024	$2,257	$2,293
Ben Hill County	$1,302	$1,529	$1,611	$1,796	$1,825
Berrien County	$1,318	$1,548	$1,631	$1,819	$1,848
Bibb County	$1,511	$1,775	$1,870	$2,085	$2,119
Bleckley County	$1,500	$1,762	$1,857	$2,071	$2,104
Brantley County	$1,332	$1,565	$1,649	$1,839	$1,868
Brooks County	$1,351	$1,587	$1,672	$1,864	$1,894
Bryan County	$1,970	$2,314	$2,438	$2,718	$2,762
Bulloch County	$1,508	$1,771	$1,866	$2,081	$2,114
Burke County	$1,451	$1,704	$1,796	$2,003	$2,035
Butts County	$1,479	$1,738	$1,831	$2,042	$2,075
Calhoun County	$1,349	$1,585	$1,670	$1,862	$1,892
Camden County	$1,550	$1,820	$1,918	$2,139	$2,173
Candler County	$1,322	$1,553	$1,636	$1,824	$1,854
Carroll County	$1,497	$1,758	$1,853	$2,066	$2,099
Catoosa County	$1,460	$1,715	$1,807	$2,015	$2,047
Charlton County	$1,351	$1,587	$1,672	$1,864	$1,894
Chatham County	$1,795	$2,109	$2,222	$2,478	$2,518
Chattahoochee County	$1,668	$1,959	$2,064	$2,301	$2,339
Chattooga County	$1,268	$1,489	$1,569	$1,749	$1,778
Cherokee County	$1,964	$2,307	$2,431	$2,711	$2,754
Clarke County	$1,603	$1,883	$1,984	$2,212	$2,248
Clay County	$1,357	$1,594	$1,680	$1,873	$1,903
Clayton County	$1,497	$1,758	$1,853	$2,066	$2,099
Clinch County	$1,251	$1,469	$1,548	$1,726	$1,754
Cobb County	$1,986	$2,333	$2,458	$2,741	$2,785
Coffee County	$1,371	$1,610	$1,697	$1,892	$1,923
Colquitt County	$1,329	$1,561	$1,645	$1,834	$1,864
Columbia County	$1,818	$2,135	$2,250	$2,509	$2,549
Cook County	$1,369	$1,608	$1,694	$1,889	$1,919
Coweta County	$1,832	$2,151	$2,267	$2,528	$2,569
Crawford County	$1,357	$1,593	$1,679	$1,872	$1,902
Crisp County	$1,401	$1,646	$1,734	$1,933	$1,965
Dade County	$1,493	$1,754	$1,848	$2,061	$2,094
Dawson County	$1,854	$2,177	$2,294	$2,558	$2,599
Decatur County	$1,391	$1,633	$1,721	$1,919	$1,950
DeKalb County	$1,918	$2,253	$2,374	$2,647	$2,690
Dodge County	$1,519	$1,784	$1,880	$2,096	$2,130
Dooly County	$1,331	$1,563	$1,647	$1,836	$1,866
Dougherty County	$1,418	$1,665	$1,755	$1,957	$1,988
Douglas County	$1,666	$1,957	$2,062	$2,299	$2,336
Early County	$1,469	$1,725	$1,818	$2,027	$2,060
Echols County	$1,216	$1,428	$1,505	$1,678	$1,705
Effingham County	$1,694	$1,990	$2,097	$2,338	$2,376
Elbert County	$1,342	$1,576	$1,661	$1,852	$1,882
Emanuel County	$1,207	$1,418	$1,494	$1,666	$1,693
Evans County	$1,277	$1,500	$1,581	$1,763	$1,791
Fannin County	$1,546	$1,815	$1,913	$2,133	$2,167
Fayette County	$2,183	$2,564	$2,702	$3,013	$3,061
Floyd County	$1,530	$1,797	$1,894	$2,112	$2,146
Forsyth County	$2,352	$2,763	$2,911	$3,246	$3,298
Franklin County	$1,440	$1,691	$1,782	$1,987	$2,019
Fulton County	$2,248	$2,640	$2,782	$3,102	$3,152
Gilmer County	$1,518	$1,783	$1,879	$2,095	$2,129
Glascock County	$1,789	$2,101	$2,214	$2,469	$2,508
