County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adams County	$1,356	$1,592	$1,678	$1,871	$1,901
Alexander County	$1,292	$1,517	$1,599	$1,783	$1,812
Bond County	$1,457	$1,711	$1,803	$2,010	$2,043
Boone County	$1,642	$1,928	$2,032	$2,266	$2,302
Brown County	$1,239	$1,455	$1,533	$1,709	$1,737
Bureau County	$1,378	$1,618	$1,705	$1,901	$1,932
Calhoun County	$1,643	$1,930	$2,034	$2,268	$2,305
Carroll County	$1,345	$1,580	$1,665	$1,856	$1,886
Cass County	$1,311	$1,540	$1,623	$1,810	$1,839
Champaign County	$1,708	$2,006	$2,114	$2,357	$2,395
Christian County	$1,299	$1,526	$1,608	$1,793	$1,822
Clark County	$1,325	$1,556	$1,640	$1,829	$1,858
Clay County	$1,342	$1,576	$1,661	$1,852	$1,882
Clinton County	$1,608	$1,889	$1,990	$2,219	$2,255
Coles County	$1,317	$1,547	$1,630	$1,817	$1,847
Cook County	$2,247	$2,639	$2,781	$3,101	$3,151
Crawford County	$1,328	$1,560	$1,644	$1,833	$1,863
Cumberland County	$1,337	$1,571	$1,655	$1,845	$1,875
DeKalb County	$1,908	$2,242	$2,362	$2,634	$2,676
De Witt County	$1,364	$1,602	$1,688	$1,882	$1,913
Douglas County	$1,420	$1,668	$1,758	$1,960	$1,992
DuPage County	$2,405	$2,825	$2,977	$3,319	$3,373
Edgar County	$1,248	$1,466	$1,545	$1,723	$1,750
Edwards County	$1,216	$1,428	$1,505	$1,678	$1,705
Effingham County	$1,484	$1,743	$1,837	$2,048	$2,081
Fayette County	$1,317	$1,547	$1,630	$1,817	$1,847
Ford County	$1,353	$1,589	$1,674	$1,867	$1,897
Franklin County	$1,283	$1,507	$1,588	$1,771	$1,799
Fulton County	$1,330	$1,562	$1,646	$1,835	$1,865
Gallatin County	$1,239	$1,455	$1,533	$1,709	$1,737
Greene County	$1,230	$1,444	$1,522	$1,697	$1,724
Grundy County	$1,983	$2,329	$2,454	$2,736	$2,780
Hamilton County	$1,269	$1,490	$1,570	$1,751	$1,779
Hancock County	$1,277	$1,499	$1,580	$1,762	$1,790
Hardin County	$1,219	$1,432	$1,509	$1,683	$1,710
Henderson County	$1,312	$1,541	$1,624	$1,811	$1,840
Henry County	$1,448	$1,701	$1,792	$1,998	$2,030
Iroquois County	$1,384	$1,626	$1,713	$1,910	$1,941
Jackson County	$1,449	$1,702	$1,793	$1,999	$2,031
Jasper County	$1,372	$1,611	$1,698	$1,893	$1,924
Jefferson County	$1,388	$1,630	$1,718	$1,916	$1,946
Jersey County	$1,576	$1,851	$1,950	$2,174	$2,209
Jo Daviess County	$1,530	$1,797	$1,894	$2,112	$2,146
Johnson County	$1,464	$1,720	$1,812	$2,020	$2,053
Kane County	$2,211	$2,596	$2,736	$3,051	$3,100
Kankakee County	$1,697	$1,993	$2,100	$2,342	$2,379
Kendall County	$2,250	$2,643	$2,785	$3,105	$3,155
Knox County	$1,271	$1,493	$1,573	$1,754	$1,782
Lake County	$2,439	$2,864	$3,018	$3,365	$3,419
La Salle County	$1,524	$1,790	$1,886	$2,103	$2,137
Lawrence County	$1,252	$1,471	$1,550	$1,728	$1,756
Lee County	$1,493	$1,754	$1,848	$2,061	$2,094
Livingston County	$1,436	$1,686	$1,777	$1,981	$2,013
Logan County	$1,342	$1,576	$1,661	$1,852	$1,882
McDonough County	$1,265	$1,486	$1,566	$1,746	$1,774
McHenry County	$2,116	$2,485	$2,619	$2,920	$2,967
McLean County	$1,729	$2,031	$2,140	$2,386	$2,425
