County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adair County	$1,221	$1,434	$1,511	$1,685	$1,712
Allen County	$1,337	$1,571	$1,655	$1,845	$1,875
Anderson County	$1,488	$1,748	$1,842	$2,054	$2,087
Ballard County	$1,364	$1,602	$1,688	$1,882	$1,913
Barren County	$1,359	$1,596	$1,682	$1,875	$1,906
Bath County	$1,285	$1,509	$1,590	$1,773	$1,801
Bell County	$1,212	$1,424	$1,500	$1,673	$1,700
Boone County	$1,681	$1,974	$2,080	$2,319	$2,357
Bourbon County	$1,462	$1,718	$1,810	$2,018	$2,051
Boyd County	$1,375	$1,615	$1,702	$1,898	$1,928
Boyle County	$1,412	$1,659	$1,748	$1,949	$1,980
Bracken County	$1,312	$1,541	$1,624	$1,811	$1,840
Breathitt County	$1,249	$1,467	$1,546	$1,724	$1,752
Breckinridge County	$1,328	$1,560	$1,644	$1,833	$1,863
Bullitt County	$1,589	$1,866	$1,966	$2,192	$2,227
Butler County	$1,268	$1,489	$1,569	$1,749	$1,778
Caldwell County	$1,378	$1,618	$1,705	$1,901	$1,932
Calloway County	$1,441	$1,692	$1,783	$1,988	$2,020
Campbell County	$1,654	$1,943	$2,047	$2,282	$2,319
Carlisle County	$1,312	$1,541	$1,624	$1,811	$1,840
Carroll County	$1,326	$1,557	$1,641	$1,830	$1,859
Carter County	$1,349	$1,584	$1,669	$1,861	$1,891
Casey County	$1,273	$1,495	$1,575	$1,756	$1,784
Christian County	$1,409	$1,655	$1,744	$1,945	$1,976
Clark County	$1,450	$1,703	$1,795	$2,001	$2,034
Clay County	$1,175	$1,380	$1,454	$1,621	$1,647
Clinton County	$1,150	$1,350	$1,423	$1,587	$1,612
Crittenden County	$1,190	$1,398	$1,473	$1,642	$1,669
Cumberland County	$1,334	$1,567	$1,651	$1,841	$1,871
Daviess County	$1,479	$1,737	$1,830	$2,040	$2,073
Edmonson County	$1,307	$1,535	$1,617	$1,803	$1,832
Elliott County	$1,327	$1,558	$1,642	$1,831	$1,860
Estill County	$1,241	$1,458	$1,536	$1,713	$1,740
Fayette County	$1,651	$1,939	$2,043	$2,278	$2,315
Fleming County	$1,190	$1,398	$1,473	$1,642	$1,669
Floyd County	$1,330	$1,562	$1,646	$1,835	$1,865
Franklin County	$1,542	$1,812	$1,909	$2,129	$2,163
Fulton County	$1,196	$1,405	$1,480	$1,650	$1,677
Gallatin County	$1,429	$1,678	$1,768	$1,971	$2,003
Garrard County	$1,393	$1,636	$1,724	$1,922	$1,953
Grant County	$1,516	$1,780	$1,876	$2,092	$2,126
Graves County	$1,345	$1,580	$1,665	$1,856	$1,886
Grayson County	$1,308	$1,536	$1,619	$1,805	$1,834
Green County	$1,096	$1,287	$1,356	$1,512	$1,536
Greenup County	$1,385	$1,627	$1,714	$1,911	$1,942
Hancock County	$1,324	$1,555	$1,639	$1,827	$1,857
Hardin County	$1,507	$1,770	$1,865	$2,079	$2,113
Harlan County	$1,160	$1,363	$1,436	$1,601	$1,627
Harrison County	$1,418	$1,665	$1,755	$1,957	$1,988
