County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Aitkin County	$1,574	$1,849	$1,948	$2,172	$2,207
Anoka County	$1,933	$2,270	$2,392	$2,667	$2,710
Becker County	$1,702	$1,999	$2,106	$2,348	$2,386
Beltrami County	$1,623	$1,907	$2,009	$2,240	$2,276
Benton County	$1,710	$2,008	$2,116	$2,359	$2,397
Big Stone County	$1,275	$1,498	$1,578	$1,759	$1,788
Blue Earth County	$1,694	$1,989	$2,096	$2,337	$2,375
Brown County	$1,463	$1,719	$1,811	$2,019	$2,052
Carlton County	$1,690	$1,984	$2,091	$2,331	$2,369
Carver County	$2,351	$2,762	$2,910	$3,245	$3,297
Cass County	$1,586	$1,863	$1,963	$2,189	$2,224
Chippewa County	$1,471	$1,727	$1,820	$2,029	$2,062
Chisago County	$1,982	$2,328	$2,453	$2,735	$2,779
Clay County	$1,813	$2,130	$2,244	$2,502	$2,542
Clearwater County	$1,568	$1,841	$1,940	$2,163	$2,198
Cook County	$1,768	$2,076	$2,188	$2,440	$2,479
Cottonwood County	$1,414	$1,661	$1,750	$1,951	$1,983
Crow Wing County	$1,621	$1,904	$2,006	$2,237	$2,273
Dakota County	$2,060	$2,419	$2,549	$2,842	$2,888
Dodge County	$1,812	$2,128	$2,242	$2,500	$2,540
Douglas County	$1,738	$2,041	$2,151	$2,398	$2,437
Faribault County	$1,352	$1,588	$1,673	$1,865	$1,896
Fillmore County	$1,559	$1,832	$1,930	$2,152	$2,187
Freeborn County	$1,421	$1,669	$1,759	$1,961	$1,993
Goodhue County	$1,787	$2,099	$2,212	$2,466	$2,506
Grant County	$1,440	$1,691	$1,782	$1,987	$2,019
Hennepin County	$2,150	$2,525	$2,661	$2,967	$3,015
Houston County	$1,684	$1,978	$2,084	$2,324	$2,361
Hubbard County	$1,694	$1,989	$2,096	$2,337	$2,375
Isanti County	$1,852	$2,175	$2,292	$2,556	$2,597
Itasca County	$1,546	$1,815	$1,913	$2,133	$2,167
Jackson County	$1,365	$1,603	$1,689	$1,883	$1,914
Kanabec County	$1,620	$1,903	$2,005	$2,236	$2,272
Kandiyohi County	$1,628	$1,912	$2,015	$2,247	$2,283
Kittson County	$1,430	$1,680	$1,770	$1,974	$2,005
Koochiching County	$1,303	$1,531	$1,613	$1,798	$1,828
Lac qui Parle County	$1,374	$1,614	$1,701	$1,897	$1,927
Lake County	$1,537	$1,805	$1,902	$2,121	$2,155
Lake of the Woods County	$1,546	$1,815	$1,913	$2,133	$2,167
Le Sueur County	$1,811	$2,127	$2,241	$2,499	$2,539
Lincoln County	$1,375	$1,615	$1,702	$1,898	$1,928
Lyon County	$1,517	$1,781	$1,877	$2,093	$2,127
McLeod County	$1,702	$1,999	$2,106	$2,348	$2,386
Mahnomen County	$1,454	$1,708	$1,800	$2,007	$2,039
Marshall County	$1,436	$1,686	$1,777	$1,981	$2,013
Martin County	$1,350	$1,586	$1,671	$1,863	$1,893
Meeker County	$1,621	$1,904	$2,006	$2,237	$2,273
Mille Lacs County	$1,692	$1,987	$2,094	$2,335	$2,373
Morrison County	$1,598	$1,877	$1,978	$2,205	$2,241
Mower County	$1,406	$1,651	$1,740	$1,940	$1,971
Murray County	$1,438	$1,689	$1,780	$1,985	$2,017
Nicollet County	$1,734	$2,037	$2,146	$2,393	$2,431
Nobles County	$1,499	$1,760	$1,855	$2,068	$2,102
