County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Churchill County	$1,700	$1,997	$2,104	$2,346	$2,384
Clark County	$1,900	$2,231	$2,351	$2,621	$2,664
Douglas County	$2,107	$2,475	$2,608	$2,908	$2,955
Elko County	$1,876	$2,204	$2,322	$2,589	$2,631
Esmeralda County	$1,346	$1,581	$1,666	$1,858	$1,888
Eureka County	$2,110	$2,479	$2,612	$2,912	$2,959
Humboldt County	$1,676	$1,968	$2,074	$2,313	$2,350
Lander County	$1,504	$1,766	$1,861	$2,075	$2,109
Lincoln County	$1,519	$1,784	$1,880	$2,096	$2,130
Lyon County	$1,755	$2,061	$2,172	$2,422	$2,461
Mineral County	$1,387	$1,629	$1,717	$1,914	$1,945
Nye County	$1,595	$1,873	$1,974	$2,201	$2,237
Pershing County	$1,498	$1,759	$1,854	$2,067	$2,101
Storey County	$1,730	$2,032	$2,141	$2,387	$2,426
Washoe County	$2,063	$2,423	$2,553	$2,847	$2,893
White Pine County	$1,544	$1,814	$1,911	$2,131	$2,165
Carson City	$1,872	$2,199	$2,317	$2,583	$2,625


new-hampshire
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Belknap County	$2,033	$2,388	$2,516	$2,805	$2,851
Carroll County	$1,884	$2,213	$2,332	$2,600	$2,642
Cheshire County	$1,946	$2,285	$2,408	$2,685	$2,728
Coos County	$1,554	$1,825	$1,923	$2,144	$2,179
Grafton County	$2,025	$2,378	$2,506	$2,794	$2,839
Hillsborough County	$2,364	$2,777	$2,926	$3,262	$3,315
Merrimack County	$2,211	$2,597	$2,737	$3,052	$3,101
Rockingham County	$2,552	$2,998	$3,159	$3,522	$3,579
Strafford County	$2,315	$2,719	$2,865	$3,194	$3,246
Sullivan County	$1,874	$2,201	$2,319	$2,586	$2,627


new-jersey
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Atlantic County	$2,188	$2,570	$2,708	$3,019	$3,068
Bergen County	$3,237	$3,802	$4,006	$4,467	$4,539
Burlington County	$2,401	$2,819	$2,971	$3,313	$3,366
Camden County	$2,222	$2,610	$2,750	$3,066	$3,116
Cape May County	$2,171	$2,550	$2,687	$2,996	$3,044
Cumberland County	$1,913	$2,246	$2,367	$2,639	$2,682
