County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Belknap County	$2,033	$2,388	$2,516	$2,805	$2,851
Carroll County	$1,884	$2,213	$2,332	$2,600	$2,642
Cheshire County	$1,946	$2,285	$2,408	$2,685	$2,728
Coos County	$1,554	$1,825	$1,923	$2,144	$2,179
Grafton County	$2,025	$2,378	$2,506	$2,794	$2,839
Hillsborough County	$2,364	$2,777	$2,926	$3,262	$3,315
Merrimack County	$2,211	$2,597	$2,737	$3,052	$3,101
Rockingham County	$2,552	$2,998	$3,159	$3,522	$3,579
Strafford County	$2,315	$2,719	$2,865	$3,194	$3,246
Sullivan County	$1,874	$2,201	$2,319	$2,586	$2,627

