County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adams County	$1,379	$1,620	$1,707	$1,903	$1,934
Allen County	$1,361	$1,599	$1,685	$1,879	$1,909
Ashland County	$1,340	$1,574	$1,659	$1,850	$1,880
Ashtabula County	$1,333	$1,566	$1,650	$1,840	$1,869
Athens County	$1,454	$1,708	$1,800	$2,007	$2,039
Auglaize County	$1,418	$1,665	$1,755	$1,957	$1,988
Belmont County	$1,304	$1,532	$1,614	$1,800	$1,829
Brown County	$1,380	$1,621	$1,708	$1,904	$1,935
Butler County	$1,696	$1,992	$2,099	$2,340	$2,378
Carroll County	$1,425	$1,674	$1,764	$1,967	$1,999
Champaign County	$1,424	$1,672	$1,762	$1,965	$1,996
Clark County	$1,342	$1,576	$1,661	$1,852	$1,882
Clermont County	$1,678	$1,971	$2,077	$2,316	$2,353
Clinton County	$1,399	$1,644	$1,732	$1,931	$1,962
Columbiana County	$1,295	$1,521	$1,603	$1,787	$1,816
Coshocton County	$1,272	$1,494	$1,574	$1,755	$1,783
Crawford County	$1,186	$1,393	$1,468	$1,637	$1,663
Cuyahoga County	$1,605	$1,886	$1,987	$2,216	$2,251
Darke County	$1,366	$1,604	$1,690	$1,884	$1,915
Defiance County	$1,330	$1,562	$1,646	$1,835	$1,865
Delaware County	$2,376	$2,790	$2,940	$3,278	$3,331
Erie County	$1,435	$1,685	$1,776	$1,980	$2,012
Fairfield County	$1,715	$2,015	$2,123	$2,367	$2,405
Fayette County	$1,366	$1,604	$1,690	$1,884	$1,915
Franklin County	$1,774	$2,084	$2,196	$2,449	$2,488
Fulton County	$1,458	$1,713	$1,805	$2,013	$2,045
Gallia County	$1,394	$1,637	$1,725	$1,923	$1,954
Geauga County	$1,950	$2,290	$2,413	$2,690	$2,734
Greene County	$1,722	$2,022	$2,131	$2,376	$2,414
Guernsey County	$1,343	$1,577	$1,662	$1,853	$1,883
Hamilton County	$1,688	$1,982	$2,089	$2,329	$2,367
