County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adams County	$1,816	$2,133	$2,248	$2,507	$2,547
Allegheny County	$1,709	$2,007	$2,115	$2,358	$2,396
Armstrong County	$1,389	$1,631	$1,719	$1,917	$1,948
Beaver County	$1,522	$1,788	$1,884	$2,101	$2,135
Bedford County	$1,453	$1,706	$1,798	$2,005	$2,037
Berks County	$1,833	$2,153	$2,269	$2,530	$2,571
Blair County	$1,379	$1,620	$1,707	$1,903	$1,934
Bradford County	$1,481	$1,740	$1,833	$2,044	$2,077
Bucks County	$2,430	$2,854	$3,007	$3,353	$3,407
Butler County	$1,882	$2,210	$2,329	$2,597	$2,639
Cambria County	$1,338	$1,572	$1,656	$1,846	$1,876
Cameron County	$1,256	$1,475	$1,554	$1,733	$1,761
Carbon County	$1,590	$1,868	$1,968	$2,194	$2,230
Centre County	$1,911	$2,244	$2,365	$2,637	$2,680
Chester County	$2,598	$3,051	$3,215	$3,585	$3,643
Clarion County	$1,352	$1,588	$1,673	$1,865	$1,896
Clearfield County	$1,325	$1,556	$1,640	$1,829	$1,858
Clinton County	$1,438	$1,689	$1,780	$1,985	$2,017
Columbia County	$1,551	$1,822	$1,920	$2,141	$2,175
Crawford County	$1,370	$1,610	$1,696	$1,891	$1,922
Cumberland County	$1,812	$2,129	$2,243	$2,501	$2,541
Dauphin County	$1,711	$2,009	$2,117	$2,360	$2,399
Delaware County	$2,202	$2,586	$2,725	$3,038	$3,087
Elk County	$1,299	$1,526	$1,608	$1,793	$1,822
Erie County	$1,513	$1,777	$1,872	$2,087	$2,121
Fayette County	$1,400	$1,645	$1,733	$1,932	$1,963
Forest County	$1,199	$1,408	$1,484	$1,655	$1,681
Franklin County	$1,694	$1,989	$2,096	$2,337	$2,375
Fulton County	$1,557	$1,829	$1,927	$2,149	$2,183
Greene County	$1,389	$1,631	$1,719	$1,917	$1,948
Huntingdon County	$1,444	$1,696	$1,787	$1,993	$2,025
Indiana County	$1,408	$1,653	$1,742	$1,942	$1,974
Jefferson County	$1,277	$1,499	$1,580	$1,762	$1,790
Juniata County	$1,458	$1,712	$1,804	$2,011	$2,044
Lackawanna County	$1,623	$1,907	$2,009	$2,240	$2,276
Lancaster County	$1,834	$2,154	$2,270	$2,531	$2,572
Lawrence County	$1,401	$1,646	$1,734	$1,933	$1,965
Lebanon County	$1,665	$1,956	$2,061	$2,298	$2,335
Lehigh County	$1,894	$2,224	$2,344	$2,614	$2,656
Luzerne County	$1,530	$1,796	$1,893	$2,111	$2,145
Lycoming County	$1,576	$1,851	$1,951	$2,175	$2,210
McKean County	$1,227	$1,441	$1,518	$1,693	$1,720
Mercer County	$1,367	$1,606	$1,692	$1,887	$1,917
Mifflin County	$1,351	$1,587	$1,672	$1,864	$1,894
Monroe County	$1,872	$2,199	$2,317	$2,583	$2,625
Montgomery County	$2,415	$2,837	$2,989	$3,333	$3,387
Montour County	$1,681	$1,975	$2,081	$2,320	$2,358
Northampton County	$1,968	$2,312	$2,436	$2,716	$2,760
Northumberland County	$1,425	$1,673	$1,763	$1,966	$1,997
Perry County	$1,673	$1,965	$2,071	$2,309	$2,346
Philadelphia County	$1,677	$1,969	$2,075	$2,314	$2,351
Pike County	$1,757	$2,064	$2,175	$2,425	$2,464
Potter County	$1,370	$1,610	$1,696	$1,891	$1,922
Schuylkill County	$1,473	$1,730	$1,823	$2,033	$2,065
Snyder County	$1,515	$1,779	$1,875	$2,091	$2,124
Somerset County	$1,372	$1,611	$1,698	$1,893	$1,924
Sullivan County	$1,491	$1,751	$1,845	$2,057	$2,090
Susquehanna County	$1,557	$1,829	$1,927	$2,149	$2,183
Tioga County	$1,513	$1,777	$1,872	$2,087	$2,121
Union County	$1,630	$1,914	$2,017	$2,249	$2,285
Venango County	$1,318	$1,548	$1,631	$1,819	$1,848
Warren County	$1,311	$1,539	$1,622	$1,809	$1,838
Washington County	$1,677	$1,970	$2,076	$2,315	$2,352
Wayne County	$1,678	$1,971	$2,077	$2,316	$2,353
Westmoreland County	$1,543	$1,813	$1,910	$2,130	$2,164
Wyoming County	$1,608	$1,889	$1,990	$2,219	$2,255
York County	$1,807	$2,123	$2,237	$2,494	$2,535


puerto-rico
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adjuntas Municipio	$963	$1,131	$1,192	$1,329	$1,351
Aguada Municipio	$1,071	$1,258	$1,326	$1,478	$1,502
Aguadilla Municipio	$1,056	$1,240	$1,307	$1,457	$1,481
Aguas Buenas Municipio	$1,099	$1,291	$1,360	$1,516	$1,541
Aibonito Municipio	$1,020	$1,198	$1,262	$1,407	$1,430
AÃ±asco Municipio	$1,051	$1,235	$1,301	$1,451	$1,474
Arecibo Municipio	$975	$1,145	$1,207	$1,346	$1,368
Arroyo Municipio	$880	$1,033	$1,089	$1,214	$1,234
Barceloneta Municipio	$1,039	$1,220	$1,286	$1,434	$1,457
Barranquitas Municipio	$979	$1,150	$1,212	$1,351	$1,373
BayamÃ³n Municipio	$1,155	$1,356	$1,429	$1,593	$1,619
Cabo Rojo Municipio	$978	$1,149	$1,211	$1,350	$1,372
Caguas Municipio	$1,163	$1,366	$1,439	$1,604	$1,630
Camuy Municipio	$1,012	$1,188	$1,252	$1,396	$1,419
CanÃ³vanas Municipio	$1,164	$1,367	$1,440	$1,606	$1,632
Carolina Municipio	$1,242	$1,459	$1,537	$1,714	$1,741
CataÃ±o Municipio	$1,217	$1,429	$1,506	$1,679	$1,706
Cayey Municipio	$1,113	$1,307	$1,377	$1,535	$1,560
Ceiba Municipio	$914	$1,073	$1,131	$1,261	$1,281
Ciales Municipio	$894	$1,050	$1,106	$1,233	$1,253
Cidra Municipio	$1,114	$1,309	$1,379	$1,538	$1,562
Coamo Municipio	$1,004	$1,179	$1,242	$1,385	$1,407
ComerÃ­o Municipio	$979	$1,150	$1,212	$1,351	$1,373
Corozal Municipio	$1,040	$1,221	$1,287	$1,435	$1,458
Culebra Municipio	$1,392	$1,635	$1,723	$1,921	$1,952
Dorado Municipio	$1,425	$1,674	$1,764	$1,967	$1,999
Fajardo Municipio	$991	$1,164	$1,227	$1,368	$1,390
Florida Municipio	$930	$1,092	$1,151	$1,283	$1,304
GuÃ¡nica Municipio	$956	$1,123	$1,183	$1,319	$1,340
Guayama Municipio	$943	$1,107	$1,167	$1,301	$1,322
Guayanilla Municipio	$1,024	$1,202	$1,267	$1,413	$1,436
Guaynabo Municipio	$1,564	$1,837	$1,936	$2,159	$2,193
Gurabo Municipio	$1,294	$1,520	$1,602	$1,786	$1,815
Hatillo Municipio	$1,066	$1,252	$1,319	$1,471	$1,494
Hormigueros Municipio	$932	$1,094	$1,153	$1,286	$1,306
Humacao Municipio	$1,053	$1,237	$1,303	$1,453	$1,476
Isabela Municipio	$999	$1,174	$1,237	$1,379	$1,402
Jayuya Municipio	$970	$1,140	$1,201	$1,339	$1,361
Juana DÃ­az Municipio	$1,037	$1,218	$1,283	$1,431	$1,454
Juncos Municipio	$1,047	$1,230	$1,296	$1,445	$1,468
Lajas Municipio	$885	$1,039	$1,095	$1,221	$1,241
Lares Municipio	$892	$1,048	$1,104	$1,231	$1,251
Las MarÃ­as Municipio	$919	$1,079	$1,137	$1,268	$1,288
Las Piedras Municipio	$1,064	$1,250	$1,317	$1,468	$1,492
LoÃ­za Municipio	$1,008	$1,183	$1,247	$1,390	$1,413
Luquillo Municipio	$1,041	$1,222	$1,288	$1,436	$1,459
ManatÃ­ Municipio	$1,061	$1,246	$1,313	$1,464	$1,488
Maricao Municipio	$820	$963	$1,015	$1,132	$1,150
Maunabo Municipio	$974	$1,144	$1,205	$1,344	$1,365
MayagÃ¼ez Municipio	$1,022	$1,200	$1,265	$1,410	$1,433
Moca Municipio	$1,021	$1,200	$1,264	$1,409	$1,432
Morovis Municipio	$995	$1,169	$1,232	$1,374	$1,396
Naguabo Municipio	$900	$1,057	$1,114	$1,242	$1,262
Naranjito Municipio	$975	$1,145	$1,207	$1,346	$1,368
Orocovis Municipio	$930	$1,092	$1,151	$1,283	$1,304
Patillas Municipio	$934	$1,097	$1,156	$1,289	$1,310
PeÃ±uelas Municipio	$979	$1,150	$1,212	$1,351	$1,373
Ponce Municipio	$1,045	$1,227	$1,293	$1,442	$1,465
Quebradillas Municipio	$963	$1,131	$1,192	$1,329	$1,351
RincÃ³n Municipio	$1,081	$1,270	$1,338	$1,492	$1,516
RÃ­o Grande Municipio	$1,130	$1,328	$1,399	$1,560	$1,585
Sabana Grande Municipio	$946	$1,111	$1,171	$1,306	$1,327
Salinas Municipio	$978	$1,149	$1,211	$1,350	$1,372
San GermÃ¡n Municipio	$992	$1,165	$1,228	$1,369	$1,391
San Juan Municipio	$1,315	$1,545	$1,628	$1,815	$1,845
San Lorenzo Municipio	$1,123	$1,319	$1,390	$1,550	$1,575
San SebastiÃ¡n Municipio	$944	$1,108	$1,168	$1,302	$1,323
Santa Isabel Municipio	$1,063	$1,249	$1,316	$1,467	$1,491
Toa Alta Municipio	$1,298	$1,525	$1,607	$1,792	$1,821
Toa Baja Municipio	$1,127	$1,324	$1,395	$1,555	$1,581
Trujillo Alto Municipio	$1,248	$1,466	$1,545	$1,723	$1,750
Utuado Municipio	$938	$1,102	$1,161	$1,295	$1,315
Vega Alta Municipio	$1,140	$1,339	$1,411	$1,573	$1,599
Vega Baja Municipio	$1,085	$1,275	$1,343	$1,497	$1,522
Vieques Municipio	$1,364	$1,602	$1,688	$1,882	$1,913
Villalba Municipio	$984	$1,156	$1,218	$1,358	$1,380
Yabucoa Municipio	$931	$1,093	$1,152	$1,284	$1,305
Yauco Municipio	$983	$1,154	$1,216	$1,356	$1,378


rhode-island
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Bristol County	$2,519	$2,958	$3,117	$3,475	$3,532
Kent County	$2,154	$2,530	$2,666	$2,973	$3,021
Newport County	$2,583	$3,034	$3,197	$3,565	$3,622
Providence County	$2,081	$2,444	$2,575	$2,871	$2,917
Washington County	$2,293	$2,693	$2,838	$3,164	$3,215


south-carolina
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Abbeville County	$1,340	$1,573	$1,658	$1,849	$1,879
Aiken County	$1,429	$1,679	$1,769	$1,972	$2,004
Allendale County	$1,248	$1,465	$1,544	$1,722	$1,749
Anderson County	$1,415	$1,662	$1,751	$1,952	$1,984
Bamberg County	$1,350	$1,586	$1,671	$1,863	$1,893
Barnwell County	$1,395	$1,639	$1,727	$1,926	$1,957
Beaufort County	$1,949	$2,289	$2,412	$2,689	$2,733
Berkeley County	$1,681	$1,974	$2,080	$2,319	$2,357
Calhoun County	$1,440	$1,691	$1,782	$1,987	$2,019
Charleston County	$2,103	$2,470	$2,603	$2,902	$2,949
Cherokee County	$1,257	$1,477	$1,556	$1,735	$1,763
Chester County	$1,272	$1,494	$1,574	$1,755	$1,783
Chesterfield County	$1,258	$1,478	$1,557	$1,736	$1,764
Clarendon County	$1,324	$1,554	$1,638	$1,826	$1,856
Colleton County	$1,407	$1,652	$1,741	$1,941	$1,973
Darlington County	$1,324	$1,555	$1,639	$1,827	$1,857
Dillon County	$1,326	$1,557	$1,641	$1,830	$1,859
Dorchester County	$1,787	$2,099	$2,212	$2,466	$2,506
Edgefield County	$1,375	$1,615	$1,702	$1,898	$1,928
Fairfield County	$1,433	$1,684	$1,774	$1,978	$2,010
Florence County	$1,441	$1,693	$1,784	$1,989	$2,021
Georgetown County	$1,603	$1,883	$1,984	$2,212	$2,248
Greenville County	$1,605	$1,886	$1,987	$2,216	$2,251
Greenwood County	$1,344	$1,578	$1,663	$1,854	$1,884
Hampton County	$1,316	$1,546	$1,629	$1,816	$1,846
Horry County	$1,515	$1,779	$1,875	$2,091	$2,124
Jasper County	$1,582	$1,858	$1,958	$2,183	$2,218
Kershaw County	$1,493	$1,754	$1,848	$2,061	$2,094
Lancaster County	$1,687	$1,982	$2,088	$2,328	$2,366
Laurens County	$1,323	$1,554	$1,637	$1,825	$1,855
Lee County	$1,206	$1,416	$1,492	$1,664	$1,690
Lexington County	$1,502	$1,764	$1,859	$2,073	$2,106
McCormick County	$1,352	$1,588	$1,673	$1,865	$1,896
Marion County	$1,241	$1,458	$1,536	$1,713	$1,740
Marlboro County	$1,186	$1,393	$1,468	$1,637	$1,663
Newberry County	$1,345	$1,579	$1,664	$1,855	$1,885
Oconee County	$1,423	$1,671	$1,761	$1,964	$1,995
Orangeburg County	$1,401	$1,646	$1,734	$1,933	$1,965
Pickens County	$1,462	$1,718	$1,810	$2,018	$2,051
Richland County	$1,602	$1,882	$1,983	$2,211	$2,247
Saluda County	$1,452	$1,705	$1,797	$2,004	$2,036
Spartanburg County	$1,461	$1,716	$1,808	$2,016	$2,048
Sumter County	$1,370	$1,610	$1,696	$1,891	$1,922
Union County	$1,213	$1,424	$1,501	$1,674	$1,701
Williamsburg County	$1,271	$1,493	$1,573	$1,754	$1,782
York County	$1,728	$2,030	$2,139	$2,385	$2,423


south-dakota
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Aurora County	$1,523	$1,789	$1,885	$2,102	$2,136
Beadle County	$1,537	$1,805	$1,902	$2,121	$2,155
Bennett County	$1,273	$1,495	$1,575	$1,756	$1,784
Bon Homme County	$1,406	$1,651	$1,740	$1,940	$1,971
Brookings County	$1,684	$1,978	$2,084	$2,324	$2,361
Brown County	$1,597	$1,876	$1,977	$2,204	$2,240
Brule County	$1,472	$1,729	$1,822	$2,032	$2,064
Buffalo County	$1,438	$1,689	$1,780	$1,985	$2,017
Butte County	$1,621	$1,904	$2,006	$2,237	$2,273
Campbell County	$1,378	$1,619	$1,706	$1,902	$1,933
Charles Mix County	$1,649	$1,937	$2,041	$2,276	$2,312
Clark County	$1,498	$1,759	$1,854	$2,067	$2,101
Clay County	$1,668	$1,959	$2,064	$2,301	$2,339
Codington County	$1,546	$1,815	$1,913	$2,133	$2,167
Corson County	$1,255	$1,474	$1,553	$1,732	$1,760
Custer County	$1,845	$2,167	$2,283	$2,546	$2,587
Davison County	$1,439	$1,690	$1,781	$1,986	$2,018
Day County	$1,412	$1,658	$1,747	$1,948	$1,979
Deuel County	$1,451	$1,704	$1,796	$2,003	$2,035
Dewey County	$1,299	$1,526	$1,608	$1,793	$1,822
Douglas County	$1,454	$1,707	$1,799	$2,006	$2,038
Edmunds County	$1,506	$1,769	$1,864	$2,078	$2,112
Fall River County	$1,453	$1,706	$1,798	$2,005	$2,037
Faulk County	$1,377	$1,617	$1,704	$1,900	$1,931
Grant County	$1,438	$1,689	$1,780	$1,985	$2,017
Gregory County	$1,366	$1,604	$1,690	$1,884	$1,915
