County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Anderson County	$1,433	$1,684	$1,774	$1,978	$2,010
Andrews County	$1,834	$2,154	$2,270	$2,531	$2,572
Angelina County	$1,557	$1,829	$1,927	$2,149	$2,183
Aransas County	$1,883	$2,212	$2,331	$2,599	$2,641
Archer County	$1,719	$2,019	$2,128	$2,373	$2,411
Armstrong County	$1,547	$1,817	$1,915	$2,135	$2,170
Atascosa County	$1,559	$1,831	$1,929	$2,151	$2,186
Austin County	$1,832	$2,151	$2,267	$2,528	$2,569
Bailey County	$1,092	$1,282	$1,351	$1,506	$1,531
Bandera County	$1,848	$2,170	$2,287	$2,550	$2,591
Bastrop County	$1,837	$2,158	$2,274	$2,536	$2,576
Baylor County	$1,904	$2,236	$2,356	$2,627	$2,669
Bee County	$1,422	$1,670	$1,760	$1,962	$1,994
Bell County	$1,704	$2,001	$2,109	$2,352	$2,389
Bexar County	$1,881	$2,209	$2,328	$2,596	$2,638
Blanco County	$1,887	$2,216	$2,335	$2,604	$2,646
Borden County	$1,511	$1,775	$1,870	$2,085	$2,119
Bosque County	$1,419	$1,666	$1,756	$1,958	$1,990
Bowie County	$1,584	$1,861	$1,961	$2,187	$2,222
Brazoria County	$2,218	$2,605	$2,745	$3,061	$3,110
Brazos County	$1,963	$2,306	$2,430	$2,709	$2,753
Brewster County	$1,669	$1,961	$2,066	$2,304	$2,341
Briscoe County	$1,328	$1,559	$1,643	$1,832	$1,862
Brooks County	$1,350	$1,586	$1,671	$1,863	$1,893
Brown County	$1,547	$1,817	$1,915	$2,135	$2,170
Burleson County	$1,620	$1,903	$2,005	$2,236	$2,272
Burnet County	$1,965	$2,308	$2,432	$2,712	$2,755
Caldwell County	$1,685	$1,980	$2,086	$2,326	$2,363
Calhoun County	$1,605	$1,886	$1,987	$2,216	$2,251
Callahan County	$1,583	$1,859	$1,959	$2,184	$2,220
Cameron County	$1,478	$1,736	$1,829	$2,039	$2,072
Camp County	$1,454	$1,707	$1,799	$2,006	$2,038
Carson County	$1,466	$1,721	$1,814	$2,023	$2,055
Cass County	$1,378	$1,619	$1,706	$1,902	$1,933
Castro County	$1,316	$1,546	$1,629	$1,816	$1,846
Chambers County	$2,154	$2,530	$2,666	$2,973	$3,021
Cherokee County	$1,526	$1,793	$1,889	$2,106	$2,140
Childress County	$1,635	$1,920	$2,023	$2,256	$2,292
Clay County	$1,530	$1,797	$1,894	$2,112	$2,146
Cochran County	$1,248	$1,466	$1,545	$1,723	$1,750
Coke County	$1,143	$1,343	$1,415	$1,578	$1,603
Coleman County	$1,408	$1,654	$1,743	$1,943	$1,975
Collin County	$2,589	$3,041	$3,204	$3,572	$3,630
Collingsworth County	$1,016	$1,193	$1,257	$1,402	$1,424
Colorado County	$1,706	$2,003	$2,111	$2,354	$2,392
Comal County	$2,260	$2,654	$2,797	$3,119	$3,169
Comanche County	$1,403	$1,647	$1,736	$1,936	$1,967
Concho County	$1,331	$1,563	$1,647	$1,836	$1,866
Cooke County	$1,698	$1,995	$2,102	$2,344	$2,382
Coryell County	$1,546	$1,815	$1,913	$2,133	$2,167
Cottle County	$1,274	$1,497	$1,577	$1,758	$1,787
Crane County	$1,363	$1,601	$1,687	$1,881	$1,911
Crockett County	$1,511	$1,775	$1,870	$2,085	$2,119
Crosby County	$1,408	$1,653	$1,742	$1,942	$1,974
Culberson County	$1,531	$1,798	$1,895	$2,113	$2,147
Dallam County	$1,237	$1,453	$1,531	$1,707	$1,735
Dallas County	$2,018	$2,370	$2,497	$2,784	$2,829
Dawson County	$1,441	$1,692	$1,783	$1,988	$2,020
Deaf Smith County	$1,493	$1,754	$1,848	$2,061	$2,094
Delta County	$1,747	$2,052	$2,162	$2,411	$2,450
Denton County	$2,448	$2,875	$3,030	$3,378	$3,433
DeWitt County	$1,528	$1,795	$1,891	$2,108	$2,143
Dickens County	$1,604	$1,884	$1,985	$2,213	$2,249
Dimmit County	$1,328	$1,560	$1,644	$1,833	$1,863
Donley County	$1,530	$1,796	$1,893	$2,111	$2,145
Duval County	$1,344	$1,578	$1,663	$1,854	$1,884
Eastland County	$1,489	$1,749	$1,843	$2,055	$2,088
Ector County	$1,846	$2,168	$2,285	$2,548	$2,589
Edwards County	$1,342	$1,576	$1,661	$1,852	$1,882
Ellis County	$2,088	$2,452	$2,584	$2,881	$2,928
El Paso County	$1,622	$1,906	$2,008	$2,239	$2,275
Erath County	$1,784	$2,095	$2,208	$2,462	$2,502
Falls County	$1,463	$1,719	$1,811	$2,019	$2,052
Fannin County	$1,690	$1,984	$2,091	$2,331	$2,369
Fayette County	$1,656	$1,945	$2,049	$2,285	$2,322
Fisher County	$1,455	$1,709	$1,801	$2,008	$2,041
Floyd County	$1,260	$1,479	$1,559	$1,738	$1,766
Foard County	$1,328	$1,560	$1,644	$1,833	$1,863
Fort Bend County	$2,435	$2,859	$3,013	$3,359	$3,414
Franklin County	$1,770	$2,079	$2,191	$2,443	$2,482
Freestone County	$1,579	$1,854	$1,954	$2,179	$2,214
Frio County	$1,625	$1,908	$2,011	$2,242	$2,278
Gaines County	$1,741	$2,045	$2,155	$2,403	$2,442
Galveston County	$2,115	$2,484	$2,618	$2,919	$2,966
Garza County	$1,526	$1,792	$1,888	$2,105	$2,139
Gillespie County	$2,020	$2,373	$2,500	$2,788	$2,833
Glasscock County	$1,158	$1,360	$1,433	$1,598	$1,624
Goliad County	$1,618	$1,901	$2,003	$2,233	$2,269
Gonzales County	$1,504	$1,766	$1,861	$2,075	$2,109
Gray County	$1,552	$1,823	$1,921	$2,142	$2,176
Grayson County	$1,760	$2,067	$2,178	$2,428	$2,468
Gregg County	$1,596	$1,874	$1,975	$2,202	$2,238
Grimes County	$1,764	$2,072	$2,183	$2,434	$2,473
Guadalupe County	$1,925	$2,261	$2,383	$2,657	$2,700
Hale County	$1,535	$1,803	$1,900	$2,119	$2,153
Hall County	$1,317	$1,547	$1,630	$1,817	$1,847
Hamilton County	$1,451	$1,704	$1,796	$2,003	$2,035
Hansford County	$1,638	$1,924	$2,027	$2,260	$2,297
Hardeman County	$1,345	$1,580	$1,665	$1,856	$1,886
Hardin County	$1,631	$1,916	$2,019	$2,251	$2,288
Harris County	$2,008	$2,358	$2,485	$2,771	$2,816
Harrison County	$1,609	$1,889	$1,991	$2,220	$2,256
Hartley County	$1,748	$2,053	$2,163	$2,412	$2,451
Haskell County	$1,319	$1,549	$1,632	$1,820	$1,849
Hays County	$2,157	$2,533	$2,669	$2,976	$3,024
Hemphill County	$1,597	$1,875	$1,976	$2,203	$2,239
Henderson County	$1,569	$1,843	$1,942	$2,165	$2,200
Hidalgo County	$1,512	$1,776	$1,871	$2,086	$2,120
Hill County	$1,545	$1,814	$1,912	$2,132	$2,166
Hockley County	$1,618	$1,900	$2,002	$2,232	$2,268
Hood County	$1,811	$2,127	$2,241	$2,499	$2,539
Hopkins County	$1,516	$1,780	$1,876	$2,092	$2,126
Houston County	$1,471	$1,727	$1,820	$2,029	$2,062
Howard County	$1,535	$1,803	$1,900	$2,119	$2,153
Hudspeth County	$1,116	$1,311	$1,381	$1,540	$1,565
Hunt County	$1,760	$2,067	$2,178	$2,428	$2,468
Hutchinson County	$1,385	$1,627	$1,714	$1,911	$1,942
Irion County	$1,800	$2,114	$2,228	$2,484	$2,524
Jack County	$1,705	$2,002	$2,110	$2,353	$2,391
Jackson County	$1,512	$1,776	$1,871	$2,086	$2,120
Jasper County	$1,517	$1,781	$1,877	$2,093	$2,127
Jeff Davis County	$1,692	$1,987	$2,094	$2,335	$2,373
Jefferson County	$1,778	$2,088	$2,200	$2,453	$2,493
Jim Hogg County	$1,530	$1,796	$1,893	$2,111	$2,145
Jim Wells County	$1,724	$2,025	$2,134	$2,379	$2,418
Johnson County	$1,819	$2,136	$2,251	$2,510	$2,550
Jones County	$1,373	$1,612	$1,699	$1,894	$1,925
