County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Accomack County	$1,497	$1,758	$1,853	$2,066	$2,099
Albemarle County	$2,191	$2,574	$2,712	$3,024	$3,073
Alleghany County	$1,359	$1,596	$1,682	$1,875	$1,906
Amelia County	$1,734	$2,037	$2,146	$2,393	$2,431
Amherst County	$1,406	$1,651	$1,740	$1,940	$1,971
Appomattox County	$1,438	$1,689	$1,780	$1,985	$2,017
Arlington County	$3,318	$3,898	$4,107	$4,579	$4,653
Augusta County	$1,659	$1,948	$2,053	$2,289	$2,326
Bath County	$1,336	$1,569	$1,653	$1,843	$1,873
Bedford County	$1,571	$1,845	$1,944	$2,168	$2,203
Bland County	$1,336	$1,569	$1,653	$1,843	$1,873
Botetourt County	$1,715	$2,014	$2,122	$2,366	$2,404
Brunswick County	$1,331	$1,563	$1,647	$1,836	$1,866
Buchanan County	$1,277	$1,500	$1,581	$1,763	$1,791
Buckingham County	$1,391	$1,634	$1,722	$1,920	$1,951
Campbell County	$1,395	$1,638	$1,726	$1,924	$1,956
Caroline County	$1,786	$2,098	$2,211	$2,465	$2,505
Carroll County	$1,245	$1,462	$1,541	$1,718	$1,746
Charles City County	$1,523	$1,789	$1,885	$2,102	$2,136
Charlotte County	$1,338	$1,572	$1,656	$1,846	$1,876
Chesterfield County	$1,908	$2,241	$2,361	$2,633	$2,675
Clarke County	$2,161	$2,539	$2,675	$2,983	$3,031
Craig County	$1,462	$1,718	$1,810	$2,018	$2,051
Culpeper County	$1,996	$2,344	$2,470	$2,754	$2,799
Cumberland County	$1,492	$1,753	$1,847	$2,059	$2,093
Dickenson County	$1,172	$1,377	$1,451	$1,618	$1,644
Dinwiddie County	$1,578	$1,853	$1,953	$2,178	$2,213
Essex County	$1,491	$1,751	$1,845	$2,057	$2,090
Fairfax County	$3,003	$3,526	$3,716	$4,143	$4,210
Fauquier County	$2,554	$3,000	$3,161	$3,525	$3,581
Floyd County	$1,481	$1,740	$1,833	$2,044	$2,077
Fluvanna County	$1,782	$2,093	$2,206	$2,460	$2,499
Franklin County	$1,470	$1,726	$1,819	$2,028	$2,061
Frederick County	$1,896	$2,226	$2,346	$2,616	$2,658
Giles County	$1,333	$1,566	$1,650	$1,840	$1,869
Gloucester County	$1,732	$2,034	$2,143	$2,389	$2,428
Goochland County	$2,071	$2,432	$2,563	$2,858	$2,904
Grayson County	$1,204	$1,414	$1,490	$1,661	$1,688
Greene County	$1,850	$2,172	$2,289	$2,552	$2,593
